https://www.youtube.com/watch?v=jvttImv68Xo  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen - B1 -  66.mp4"
https://www.youtube.com/watch?v=jhupmHI1-jA  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen - C1 -  67.mp4"
https://www.youtube.com/watch?v=l5N9MLKBgtI  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen - B2 -  68.mp4"
https://www.youtube.com/watch?v=63bPJnyK6Ec  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-A2B1-69 - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=Pncx_dzezhU  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-C1-70 - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=O9lKq16L8S8  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B1-71 - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=hTe-78tLIqs  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/71 - (Audio verbessert) Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B1- 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦.mp4"
https://www.youtube.com/watch?v=hri4vZIdofY  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B2-72 - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=kbisahJnUig  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B1-72 - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=fEe06tU0tkI  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B1-74 - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=CgMV0CMGRYs  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B2-75 - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=4nBvh8DfNWY  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B1-== - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=jxCAhRVV0g8  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B2-77 - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=JN044NfKI_E  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B1-78 - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=UG4_BqgUuow  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B2-79 - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=3izdFMuogjg  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B1-== - 🇸🇾🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=MfMgFMWkBeM  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B2-81 - 🇸🇾🇦🇿🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=pkNX4V9PSIM  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-A2-82 - 🇸🇾🇦🇿🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=6vwpjGa0bRk  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-B2-83 - 🇸🇾🇦🇿🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
https://www.youtube.com/watch?v=CdN8HFTH42Q  ->   "Youtube_video/Deutsch lernen im Schlaf & Hören, Lesen und Verstehen/Deutsch lernen im Schlaf & Hören Lesen und Verstehen-A2-84 - 🇸🇾🇦🇿🇹🇷🇨🇳🇺🇸🇫🇷🇯🇵🇪🇸🇮🇹🇺🇦🇵🇹🇷🇺🇬🇧🇵🇱🇮🇶🇮🇷🇹🇭🇷🇸.mp4"
